Pop2023,Pop2022,City,Country,Continent,growthRate,rank,Year
1818421,1785209,Palembang,Indonesia,Asia,0.0186,283,2023
1816813,1760411,Raipur,India,Asia,0.032,284,2023
1804704,1773495,Gaziantep,Turkey,Asia,0.0176,285,2023
1801944,1798471,Turin,Italy,Europe,0.0019,286,2023
1797805,1762162,Meerut,India,Asia,0.0202,287,2023
1797516,1794532,Warsaw,Poland,Europe,0.0017,288,2023
1792020,1737101,Mosul,Iraq,Asia,0.0316,289,2023
1788871,1732743,Cixi,China,Asia,0.0324,290,2023
1787520,1788170,Hamburg,Germany,Europe,-0.0004,291,2023
1780592,1729825,La Laguna,Mexico,North America,0.0293,292,2023
1778052,1775207,Budapest,Hungary,Europe,0.0016,293,2023
1776385,1785294,Bucharest,Romania,Europe,-0.005,294,2023
1774396,1767243,Montevideo,Uruguay,South America,0.004,295,2023
1768511,1740196,Jiangmen,China,Asia,0.0163,296,2023
1761188,1747575,Lyon,France,Europe,0.0078,297,2023
1754425,1722259,Varanasi,India,Asia,0.0187,298,2023
1748142,1684932,Batam,Indonesia,Asia,0.0375,299,2023
1742706,1713433,Xiangyang,China,Asia,0.0171,300,2023
1720954,1698584,Shiraz,Iran,Asia,0.0132,301,2023
1716591,1672688,Yinchuan,China,Asia,0.0262,302,2023
1711244,1660148,Yichang,China,Asia,0.0308,303,2023
1700066,1679050,Stockholm,Sweden,Europe,0.0125,304,2023
1698277,1659935,Srinagar,India,Asia,0.0231,305,2023
1698088,1688907,Glasgow,United Kingdom,Europe,0.0054,306,2023
1695060,1661439,Jamshedpur,India,Asia,0.0202,307,2023
1694765,1686236,Novosibirsk,Russia,Europe,0.0051,308,2023
1689499,1667187,Anshan,China,Asia,0.0134,309,2023
1683389,1641602,Aurangabad,India,Asia,0.0255,310,2023
1680962,1634829,Qinhuangdao,China,Asia,0.0282,311,2023
1678020,1622582,Monrovia,Liberia,Africa,0.0342,312,2023
1677173,1619469,Tiruppur,India,Asia,0.0356,313,2023
1673220,1652341,Auckland,New Zealand,Oceania,0.0126,314,2023
1673094,1642129,Makassar,Indonesia,Asia,0.0189,315,2023
1672627,1644544,Ulaanbaatar,Mongolia,Asia,0.0171,316,2023
1668785,1645140,Jilin,China,Asia,0.0144,317,2023
1666605,1625782,Xining,China,Asia,0.0251,318,2023
1664968,1595867,Suqian,China,Asia,0.0433,319,2023
1664442,1592924,Kananga,DR Congo,Africa,0.0449,320,2023
1661854,1618900,Hengyang,China,Asia,0.0265,321,2023
1660737,1643960,Tabriz,Iran,Asia,0.0102,322,2023
1651344,1637902,Phoenix,United States,North America,0.0082,323,2023
1650319,1622620,Muscat,Oman,Asia,0.0171,324,2023
1642347,1585812,Anyang,China,Asia,0.0357,325,2023
1639613,1611475,Calgary,Canada,North America,0.0175,326,2023
1635458,1609057,Qiqihaer,China,Asia,0.0164,327,2023
1627549,1620227,Marseille,France,Europe,0.0045,328,2023
1623382,1552630,Onitsha,Nigeria,Africa,0.0456,329,2023
1611651,1597844,Cordoba,Argentina,South America,0.0086,330,2023
1594096,1574235,Rosario,Argentina,South America,0.0126,331,2023
1593608,1586825,Karaj,Iran,Asia,0.0043,332,2023
1592324,1532588,N-Djamena,Chad,Africa,0.039,333,2023
1586547,1548048,Jodhpur,India,Asia,0.0249,334,2023
1582313,1560821,Ciudad Juarez,Mexico,North America,0.0138,335,2023
1578128,1557740,Harare,Zimbabwe,Africa,0.0131,336,2023
1577436,1573369,Daejon,South Korea,Asia,0.0026,337,2023
1576416,1566128,Munich,Germany,Europe,0.0066,338,2023
1572571,1545420,Medina,Saudi Arabia,Asia,0.0176,339,2023
1571010,1521057,Kathmandu,Nepal,Asia,0.0328,340,2023
1569560,1543534,Jining Shandong,China,Asia,0.0169,341,2023
1568025,1526660,Tegucigalpa,Honduras,North America,0.0271,342,2023
1566999,1539830,Abu Dhabi,United Arab Emirates,Asia,0.0176,343,2023
1552899,1547094,Gaoxiong,Taiwan,Asia,0.0038,344,2023
1547258,1510765,Ranchi,India,Asia,0.0242,345,2023
1544448,1518921,Edmonton,Canada,North America,0.0168,346,2023
1536171,1502958,Zhangjiakou,China,Asia,0.0221,347,2023
1535316,1511614,Natal,Brazil,South America,0.0157,348,2023
1531860,1500625,Mandalay,Myanmar,Asia,0.0208,349,2023
1529472,1526457,Gwangju,South Korea,Asia,0.002,350,2023
1527886,1551880,Philadelphia,South Korea,North America,-0.0155,351,2023
1527728,1521136,Yekaterinburg,Russia,Europe,0.0043,352,2023
1523629,1511102,Grande Sao Luis,Brazil,South America,0.0083,353,2023
1522121,1495679,Jabalpur,India,Asia,0.0177,354,2023
1516795,1474243,Kota,India,Asia,0.0289,355,2023
1512668,1486964,Huainan,China,Asia,0.0173,356,2023
1505033,1478266,Asansol,India,Asia,0.0181,357,2023
1496298,1472558,Chaozhou,China,Asia,0.0161,358,2023
1491958,1431539,Nouakchott,Mauritania,Africa,0.0422,359,2023
1483320,1436780,Yiwu,China,Asia,0.0324,360,2023
1479493,1465608,San Antonio,United States,North America,0.0095,361,2023
1475016,1442015,Gwalior,India,Asia,0.0229,362,2023
1465152,1439202,Allahabad,India,Asia,0.018,363,2023
1461989,1441324,San Jose,Costa Rica,North America,0.0143,364,2023
1459678,1405736,Ganzhou,China,Asia,0.0384,365,2023
1454222,1435745,Chon Buri,Thailand,Asia,0.0129,366,2023
1451748,1425040,Amritsar,India,Asia,0.0187,367,2023
